_SystemName,_DistrictWebsite,_City,_total_enroll,_Grade,_pct_asian,_pct_native,_pct_black,_pct_hispanic,_pct_multi,_pct_white,_sent_bool
Bryan County,http://www.bryan.k12.ga.us/,Black Creek,9323,B,3,0,16,8,5,67,0
Floyd County,http://www.floydboe.net/,Rome,9216,B,1,0,7,10,4,78,0
Camden County,http://www.camden.k12.ga.us/,Kingsland,9092,B,1,0,22,9,8,60,0
Marietta City,http://www.marietta-city.org/site/default.aspx?PageID=1,Marietta,8624,B,2,0,37,38,3,20,0
Habersham County,http://www.habershamschools.com/,Clarkesville,6696,B,3,0,2,31,3,61,0
Laurens County,http://www.lcboe.net/,Dublin,6258,B,1,0,30,4,2,63,0
Lee County,http://www.lee.k12.ga.us/,Leesburg,6213,B,3,0,23,3,4,67,0
Decatur City,http://www.csdecatur.net/,Decatur,5540,B,4,0,20,4,7,64,0
Buford City,http://www.bufordcityschools.org/,Buford,4945,B,4,0,11,29,5,52,0
Madison County,http://www.madison.k12.ga.us/,Danielsville,4814,B,2,0,10,11,5,72,0
Monroe County,http://www.monroe.k12.ga.us/,Forsyth,3841,B,1,0,25,3,3,68,0
Pierce County,http://www.pierce.k12.ga.us/,Blackshear,3477,B,1,0,8,9,3,79,0
Screven County,http://www.screven.k12.ga.us/,Sylvania,2211,B,1,0,47,3,3,47,0
Rabun County,https://www.rabuncountyschools.org/,Tiger,2142,B,0,0,0,16,2,80,0
Bacon County,http://www.bcraiders.com/,Alma,2048,B,0,0,20,14,4,60,0
Oglethorpe County,http://www.oglethorpe.k12.ga.us/,Lexington,2044,B,2,0,18,10,4,65,0
Charlton County,http://www.charlton.k12.ga.us/,Folkston,1628,B,1,0,30,2,7,60,0
Chickamauga City,http://www.chickamaugacityschools.org/,Chickamauga,1314,B,1,0,0,2,2,95,0
Trion City,http://www.trionschools.org/,Trion,1311,B,1,0,1,19,3,76,0
Schley County,http://www.schleyk12.org/,Ellaville,1236,B,1,0,17,5,3,74,0
Oconee County,https://www.oconeeschools.org/,Watkinsville,7968,A,6,0,4,7,3,79,0
Jefferson City,http://main.jeffcityschools.org/,Jefferson,3713,A,2,0,8,7,4,79,0
Bremen City,http://www.bremencs.com/,Bremen,2224,A,2,0,6,2,3,88,0
